id,score,y
32936,0.12613407876886848,0
1643,0.16238709525862632,0
8565,0.018733930655738425,0
7144,0.017514350017579026,0
32575,0.06445491092796544,0
29061,0.43851710323312215,0
37060,0.07482890560071316,0
33146,0.24396514416480689,0
38588,0.16849332182881285,0
14214,0.9894731881713581,1
15522,0.989548710774255,1
44483,0.6081006834492322,1
31324,0.25986591534221015,0
16088,0.12362622738976255,0
7399,0.02641811052003469,0
38690,0.7514707178626406,1
36880,0.16996956179575964,0
39821,0.8859777306350798,1
10082,0.9798528478568851,1
18952,0.31601535093335703,0
5717,0.011590931097423877,0
33135,0.23252738950983606,0
4886,0.01652222753735096,0
25505,0.2105867124170464,0
7067,0.002247119277784106,0
8471,0.5679902111877911,1
28742,0.08794728640388895,0
17426,0.08324470127298497,0
19038,0.44058118653390127,0
31549,0.2617807248859629,0
42381,0.9135494226570116,1
41556,0.14977774669730498,0
26340,0.9880141734118151,1
28366,0.06022938838721654,0
17295,0.23168148458943108,0
39149,0.6097679064569167,1
33073,0.6045600751689113,1
9784,0.04863528655261063,0
38530,0.23272659395373693,0
30234,0.05831847889462509,0
34907,0.4073518238559284,0
12703,0.9874812826640741,1
20244,0.2138803214395864,0
16522,0.5065130536434963,1
33239,0.7628591870345927,1
2654,0.017714828148518973,0
16472,0.5419763924621155,1
44933,0.8811598661364469,1
32724,0.03146723186480525,0
27250,0.59001041580789,1
45113,0.9725336807593981,1
26687,0.26867920369368314,0
39268,0.005856384520180767,0
34793,0.10041153206287246,0
31936,0.4596655591604957,0
2616,0.05813062696911354,0
1166,0.026893244080011966,0
41458,0.875590515855554,1
18577,0.6088403343945411,1
23832,0.07851705091772122,0
12368,0.07362274408780942,0
28046,0.18886420107494978,0
44558,0.6656880733946525,1
34097,0.9074909744031464,1
4518,0.010232576590940208,0
8791,0.042669055764319216,0
35700,0.08675898793041344,0
27869,0.8008003932015788,1
21982,0.11297672830784393,0
7962,0.021214180424971266,0
29559,0.014124850730267475,0
8537,0.038610140396798914,0
37878,0.5050980754375659,1
8920,0.026493459953977654,0
25025,0.7837218879004736,1
15000,0.5019908349163349,1
20324,0.935259143890965,1
26961,0.9254330296885123,1
41917,0.9946864071606126,1
15666,0.07600818554693474,0
13303,0.5705831793755808,1
6656,0.012050906728158452,0
23206,0.07407230566859162,0
44773,0.9313707984180305,1
23156,0.022589406900873,0
4815,0.08476202858574233,0
1442,0.03221880986085894,0
1038,0.6282790732099631,1
14261,0.018645654337725262,0
12473,0.04973195498130219,0
40297,0.8947580212559295,1
21735,0.04822618608668124,0
41071,0.984304273550311,1
